current_time,weather,temp,humidity
2025-08-11 06:45:24,Clouds,28.76,74
2025-08-11 07:18:23,Clouds,28.3,70
2025-08-11 07:41:57,Clouds,29.76,66
2025-08-11 07:55:49,Clouds,29.76,66
2025-08-11 08:57:23,Clouds,29.76,66
2025-08-11 09:49:32,Clouds,27.76,74
2025-08-11 09:58:59,Clouds,27.76,74
2025-08-11 10:51:33,Clouds,27.76,78
2025-08-11 11:32:00,Clouds,26.76,83
2025-08-11 11:47:21,Clouds,26.76,83
2025-08-11 11:57:08,Clouds,26.76,83
2025-08-11 13:51:49,Clear,24.76,88
2025-08-11 14:49:22,Clear,24.76,88
2025-08-11 14:59:37,Clear,24.76,88
2025-08-11 15:46:35,Clear,23.76,100
2025-08-11 15:59:33,Clear,23.76,100
2025-08-11 16:56:33,Clouds,22.76,100
2025-08-11 17:45:05,Mist,22.76,100
2025-08-11 17:56:04,Mist,22.76,100
2025-08-11 18:57:44,Mist,22.76,100
2025-08-11 19:31:51,Mist,20.76,100
2025-08-11 19:45:47,Mist,20.76,100
2025-08-11 19:55:07,Mist,20.76,100
2025-08-11 20:38:26,Mist,20.76,100
2025-08-11 20:52:38,Mist,20.76,100
2025-08-11 21:31:02,Mist,20.76,100
2025-08-11 21:45:14,Mist,20.76,100
2025-08-11 21:55:08,Mist,20.76,100
2025-08-11 22:40:50,Mist,23.76,100
2025-08-11 22:51:45,Mist,23.76,100
2025-08-11 23:32:25,Mist,26.76,78
2025-08-11 23:46:08,Mist,26.76,78
2025-08-11 23:55:58,Mist,26.76,78
2025-08-12 03:40:15,Clear,31.76,48
2025-08-12 04:47:13,Clouds,32.76,43
2025-08-12 05:00:31,Clouds,32.76,43
2025-08-12 05:42:57,Clouds,32.76,46
2025-08-12 05:53:03,Clouds,32.76,46
2025-08-12 06:55:36,Clouds,33.76,43
2025-08-12 07:37:47,Clear,34.76,34
2025-08-12 07:49:49,Clear,34.76,34
2025-08-12 07:59:03,Clear,34.76,34
2025-08-12 08:54:40,Clear,33.76,40
2025-08-12 09:40:54,Clear,31.76,45
2025-08-12 09:53:28,Clear,31.76,45
2025-08-12 10:46:56,Clear,30.76,55
2025-08-12 10:56:46,Clear,30.76,55
2025-08-12 11:31:28,Clear,28.76,61
2025-08-12 11:45:52,Clear,28.76,61
2025-08-12 11:55:49,Clear,28.76,61
2025-08-12 13:47:18,Clear,26.76,74
2025-08-12 13:59:37,Clear,26.76,74
2025-08-12 14:48:44,Clear,25.76,78
2025-08-12 14:58:15,Clear,25.76,78
2025-08-12 15:43:56,Clear,25.76,83
2025-08-12 15:57:57,Clear,25.76,83
2025-08-12 16:54:52,Clouds,26.76,78
2025-08-12 17:41:15,Clouds,23.76,100
2025-08-12 17:53:52,Clouds,23.76,100
2025-08-12 18:55:33,Clouds,24.76,100
2025-08-12 19:28:36,Clouds,24.76,100
2025-08-12 19:43:07,Clouds,24.76,100
2025-08-12 19:52:45,Rain,24.76,100
2025-08-12 20:40:17,Thunderstorm,23.76,100
2025-08-12 20:55:14,Thunderstorm,23.76,100
2025-08-12 21:34:49,Rain,23.76,100
2025-08-12 21:47:59,Rain,23.76,100
2025-08-12 21:57:23,Rain,23.76,100
2025-08-12 22:40:46,Rain,23.76,100
2025-08-12 22:52:14,Rain,23.76,100
2025-08-12 23:32:47,Rain,24.76,100
2025-08-12 23:46:35,Rain,24.76,100
2025-08-12 23:56:05,Rain,24.76,100
2025-08-13 03:43:11,Clouds,23.76,100
2025-08-13 04:52:40,Rain,27.76,100
2025-08-13 05:43:07,Rain,27.76,100
2025-08-13 05:54:33,Rain,27.76,100
2025-08-13 06:56:58,Rain,26.76,100
2025-08-13 07:38:43,Rain,26.76,100
